alpha,nitrogen_mt,water_bcm,season
0.0,3.062441417063631,92.13032932181969,rabi
0.1,3.0031099743854868,92.28759153729456,rabi
0.2,2.936219709417051,92.78868911187188,rabi
0.3,2.8378179089495146,93.96804789413704,rabi
0.4,2.800157578280008,94.66867955666324,rabi
0.5,2.791943776568254,94.90248910045791,rabi
0.6,2.7604059341734013,96.1714187929374,rabi
0.7,2.7464426430431357,97.16436221452769,rabi
0.8,2.7284063988183984,99.09548487981633,rabi
0.9,2.716341410555775,101.53951372753076,rabi
1.0,2.7114917630656232,104.4169584123971,rabi
0.0,4.889219706056742,241.92219009336807,kharif
0.1,4.843067540113686,242.10997357320235,kharif
0.2,4.756918632637712,243.2211167545111,kharif
0.3,4.697074267621444,244.4386927737476,kharif
0.4,4.603641530890911,247.93233649106887,kharif
0.5,4.580501922188791,249.2358409770453,kharif
0.6,4.538700962900481,252.78377289505164,kharif
0.7,4.524262107735725,254.5872348202592,kharif
0.8,4.4844658158676065,261.9408933454394,kharif
0.9,4.471504339518837,267.7680579336167,kharif
1.0,4.465809158096568,276.37457857173536,kharif
