Alpha,center_nitrogen_mt,center_water_bcm,mean_nitrogen_mt,p2_5_nitrogen_mt,p97_5_nitrogen_mt,min_nitrogen_mt,max_nitrogen_mt,envelope_low_nitrogen_mt,envelope_high_nitrogen_mt,mean_water_bcm,p2_5_water_bcm,p97_5_water_bcm,min_water_bcm,max_water_bcm,envelope_low_water_bcm,envelope_high_water_bcm,n_optimal,n_total
0.0,7.665127986838045,300.6665250407807,7.666686554476518,7.569577850383321,7.773696603423511,7.5149174271961545,7.829027810710405,7.5149174271961545,7.829027810710405,304.20403551944815,295.96064177779374,312.79529991620683,291.4978803602772,319.45041266810745,291.4978803602772,319.45041266810745,500,500
0.01,7.660194861136389,300.6668472332047,7.661606251116369,7.566331315372251,7.767153361992794,7.506551737642147,7.823940628323287,7.506551737642147,7.823940628323287,304.2332689075615,296.07203696531957,312.7682190444243,291.6510057027184,319.6023435937778,291.6510057027184,319.6023435937778,500,500
0.02,7.652442677065475,300.67047127008885,7.653908778092615,7.558154817139168,7.760115777893305,7.497539163669972,7.814866778942822,7.497539163669972,7.814866778942822,304.2369370755583,296.0477603762121,312.7698326105951,291.629537285987,319.5912573713756,291.629537285987,319.5912573713756,500,500
0.03,7.6408532999312,300.6867752385426,7.6423806870572575,7.54693532045297,7.747312099503821,7.483241035891104,7.797551309666101,7.483241035891104,7.797551309666101,304.2430865900737,296.0241800844366,312.4853724158377,291.70011359164795,319.58784298025745,291.70011359164795,319.58784298025745,500,500
0.04,7.626739036021108,300.7153376260983,7.628317833251781,7.533157380386742,7.733025575517002,7.4716189180918695,7.787658442085063,7.4716189180918695,7.787658442085063,304.2425698609766,296.16201373565116,312.5464578102783,291.7386978573944,319.2182550227135,291.7386978573944,319.2182550227135,500,500
0.05,7.581475602567606,300.8610652537097,7.5839211752556785,7.483828930188159,7.68938142084961,7.438439145441803,7.745590945052539,7.438439145441803,7.745590945052539,304.34850921798517,296.4417035586388,312.6322494852464,291.8227069936728,319.5478085127743,291.8227069936728,319.5478085127743,500,500
0.06,7.563698715838733,300.9115756205437,7.566620405389818,7.474540471834936,7.671722356774911,7.416264148521116,7.721880445217067,7.416264148521116,7.721880445217067,304.39570822412884,296.4381658580931,312.5087556945519,291.72139704701027,319.7110636869193,291.72139704701027,319.7110636869193,500,500
0.07,7.558425504133842,300.92780197669543,7.561462781621747,7.46693526117,7.665942601017971,7.409521144988666,7.719459177349119,7.409521144988666,7.719459177349119,304.4379833568543,296.4594281453268,312.48837575423767,291.737628901614,319.78999548191973,291.737628901614,319.78999548191973,500,500
0.08,7.550178374459283,300.97107936510827,7.553374418508501,7.457476516985883,7.659921509811003,7.4049353945245935,7.713246940519779,7.4049353945245935,7.713246940519779,304.47941515740865,296.53832872959373,312.51460642047925,291.84075097654915,319.74667278320544,291.84075097654915,319.74667278320544,500,500
0.09,7.500902965880662,301.17622299360556,7.504188927128969,7.408691394828031,7.612758304781958,7.354790275159237,7.664414801010378,7.354790275159237,7.664414801010378,304.5833224872463,296.50987422022706,312.94900700322313,291.5207821513627,320.4408846448514,291.5207821513627,320.4408846448514,500,500
0.1,7.463059622788443,301.4030376366669,7.465781563362159,7.368874147953708,7.572181255508551,7.304207495827475,7.625385170046862,7.304207495827475,7.625385170046862,304.80372829468206,296.58543001159575,313.2183948743523,291.32821288307423,321.17976516955275,291.32821288307423,321.17976516955275,500,500
0.11,7.460123494630907,301.4269035774313,7.46280395976367,7.36611422328761,7.569022866104232,7.300373731176176,7.622802403297106,7.300373731176176,7.622802403297106,304.8223077214705,296.61061760254717,313.2681447677013,291.38082116536657,321.2412020646493,291.38082116536657,321.2412020646493,500,500
0.12,7.458126624437631,301.4441121410254,7.460816904809328,7.364211698615959,7.56711479959966,7.297399205850296,7.621290849394409,7.297399205850296,7.621290849394409,304.8408834837404,296.60998807260694,313.2823550366795,291.3482135503428,321.23801141614496,291.3482135503428,321.23801141614496,500,500
0.13,7.447175812091252,301.54957825675257,7.449679212820587,7.35312408307125,7.5550680436392,7.280797450099873,7.605807204105793,7.280797450099873,7.605807204105793,304.9013796585556,296.684870828343,313.2200349996581,291.59929730628966,321.58825051442795,291.59929730628966,321.58825051442795,500,500
0.14,7.437518984236299,301.6203016408668,7.439995982279076,7.342715387712816,7.544509792605528,7.27205248417096,7.600861543670891,7.27205248417096,7.600861543670891,304.9708241262854,296.7555491040363,313.3220402603914,291.6243625338993,321.6765551738335,291.6243625338993,321.6765551738335,500,500
0.15,7.428905154706675,301.71980874612404,7.431395381929695,7.334585209877537,7.536597613684711,7.262746994925203,7.5922242307162895,7.262746994925203,7.5922242307162895,305.1111675703879,296.80906846122383,313.4297864951445,291.52342161731957,321.4596067047,291.52342161731957,321.4596067047,500,500
0.16,7.41036801523634,301.9451366267701,7.412903122792263,7.315670776542577,7.518102742153855,7.238355603130514,7.5764340463177575,7.238355603130514,7.5764340463177575,305.33329961017506,296.9751723192289,313.6495844306958,291.5714905765174,321.60329664121474,291.5714905765174,321.60329664121474,500,500
0.17,7.406716447898863,301.9794046948664,7.409206713411029,7.311412759503191,7.515249520684641,7.23509050271834,7.573582555158656,7.23509050271834,7.573582555158656,305.3572410629413,297.030666182144,313.7060461965198,291.5735115606892,321.55082847070935,291.5735115606892,321.55082847070935,500,500
0.18,7.3842037604942865,302.27771504028004,7.386545892659834,7.289267380444916,7.489733797946771,7.210292680482519,7.553925443876678,7.210292680482519,7.553925443876678,305.67629802928434,297.2580035996809,313.79500570986266,292.65382675225953,321.90369788911096,292.65382675225953,321.90369788911096,500,500
0.19,7.337607119885775,302.968387139131,7.34014505260008,7.242676206742353,7.443475247887723,7.17292157208548,7.506627145214234,7.17292157208548,7.506627145214234,306.3586202033785,297.89436271733905,314.69568194440194,293.1792372350205,322.8642850104198,293.1792372350205,322.8642850104198,500,500
0.2,7.306533754448366,303.2880481832235,7.307714939749319,7.2219418691216335,7.411298953217961,7.153211621951961,7.453995003066827,7.153211621951961,7.453995003066827,306.6551451115049,298.3441152011352,314.937327216315,292.98887653742486,323.06689800362994,292.98887653742486,323.06689800362994,500,500
0.21,7.296998491819203,303.45642996738326,7.298237764802978,7.211775935353819,7.402555068195133,7.143718998810967,7.444989519473904,7.143718998810967,7.444989519473904,306.8183992944943,298.50479738510427,315.07878803264765,293.0727699197563,323.2322670978185,293.0727699197563,323.2322670978185,500,500
0.22,7.286377142031689,303.6377615873788,7.287714969577253,7.198781292040433,7.391438124731346,7.13314431671421,7.434853291893065,7.13314431671421,7.434853291893065,307.0069644315158,298.61720625370515,315.3211692096187,293.4984787277191,323.4359122468386,293.4984787277191,323.4359122468386,500,500
0.23,7.2721895843882525,303.79021608962745,7.273598978603734,7.178206684048243,7.377623206605762,7.1135451244565715,7.421975837504521,7.1135451244565715,7.421975837504521,307.1264924569589,299.10052434911387,315.0890901778918,293.3249037633706,322.794061191677,293.3249037633706,322.794061191677,500,500
0.24,7.185924627420234,305.08853353071936,7.187452717019863,7.090388645244767,7.285563908466301,7.021174342953216,7.333003996773753,7.021174342953216,7.333003996773753,308.41144764288805,299.98882691054894,316.1673983009143,295.16774504014967,322.8566165024114,295.16774504014967,322.8566165024114,500,500
0.25,7.176612483524536,305.2855337442911,7.178262078677711,7.081668675571686,7.278947119437743,7.011695794716409,7.323746066677696,7.011695794716409,7.323746066677696,308.6243857112683,300.38691739507937,316.4609492126055,296.0557420262607,322.98226575083595,296.0557420262607,322.98226575083595,500,500
0.26,7.175726595582496,305.30087497834336,7.177383153314428,7.0809005267126715,7.278043292613791,7.010969769318488,7.322755726993271,7.010969769318488,7.322755726993271,308.6397474986006,300.4002490695285,316.4505550181395,296.1191164539045,322.99915068972314,296.1191164539045,322.99915068972314,500,500
0.27,7.174077195303549,305.323446685083,7.17572850254018,7.079121794518138,7.27600108785957,7.008880436663775,7.32034800255859,7.008880436663775,7.32034800255859,308.66010435719693,300.36436917743384,316.47381739687967,296.1438034425976,322.99117982760583,296.1438034425976,322.99117982760583,500,500
0.28,7.1555890828412085,305.79481641348855,7.156964510299109,7.0640278484535886,7.253335967309105,6.988568019216189,7.298128756213735,6.988568019216189,7.298128756213735,309.1166132169457,300.8562084279378,316.9514810080231,296.3986769388771,323.02979629320953,296.3986769388771,323.02979629320953,500,500
0.29,7.147481692048099,306.01605437097953,7.148937533993825,7.054043074702035,7.24505089824482,6.979022781101248,7.291814916426353,6.979022781101248,7.291814916426353,309.3397765568632,301.05387399458607,317.2198138717111,296.5006070373472,323.05000411142663,296.5006070373472,323.05000411142663,500,500
0.3,7.145682104311598,306.04468728350486,7.147110252646733,7.052332379706249,7.243177419371307,6.976664445104278,7.289965587875761,6.976664445104278,7.289965587875761,309.3686966772076,301.0870848790311,317.25324218909043,296.47832520158977,323.09611539865847,296.47832520158977,323.09611539865847,500,500
0.31,7.12190495136505,306.54329830899064,7.123492963937975,7.028512412684433,7.22152314471869,6.953768484407177,7.2730452607825296,6.953768484407177,7.2730452607825296,309.86661760108626,301.4179676604353,318.1187847724611,297.5931977015631,323.78833296683575,297.5931977015631,323.78833296683575,500,500
0.32,7.119147276503916,306.6222655277461,7.120701224979264,7.025134299081066,7.217808671758405,6.951697716806563,7.271982395767513,6.951697716806563,7.271982395767513,309.9446799077225,301.6096176453241,318.32398605953455,297.69772413688895,323.9758955710903,297.69772413688895,323.9758955710903,500,500
0.33,7.118723337461153,306.63589828617324,7.120275252029949,7.024675781737785,7.217404242102249,6.951193079493528,7.2714810235071905,6.951193079493528,7.2714810235071905,309.95857087964833,301.62566878707815,318.3342919687674,297.71323962578646,323.99807302631916,297.71323962578646,323.99807302631916,500,500
0.34,7.11112774226355,306.7747496863605,7.112514297032875,7.017249277162738,7.210480896021148,6.951126725575039,7.260950163265537,6.951126725575039,7.260950163265537,310.1038908474504,301.76037291723213,318.41795387117776,297.9563296259599,324.04104520226923,297.9563296259599,324.04104520226923,500,500
0.35,7.105516373107893,306.97541954360537,7.106646257889693,7.010753093344997,7.206658110683714,6.93779367926893,7.250666681875904,6.93779367926893,7.250666681875904,310.3235870581693,302.039114501211,318.3700723141842,297.9731543151978,323.8371281808899,297.9731543151978,323.8371281808899,500,500
0.36,7.092447505920017,307.2668580103613,7.093910847091664,6.998752934738884,7.191296235881075,6.925602963350973,7.238410383982584,6.925602963350973,7.238410383982584,310.60361292735143,302.25536341627674,318.89050793403396,298.8805985897955,324.251479095327,298.8805985897955,324.251479095327,500,500
0.37,7.083531394531393,307.6032168260532,7.085073998783421,6.9898683664624865,7.181599899237866,6.916049367066108,7.230561074162265,6.916049367066108,7.230561074162265,310.9467772007013,302.99113425971547,318.9876818516901,298.9355366549994,324.9110870985888,298.9355366549994,324.9110870985888,500,500
0.38,7.04955599587637,308.58403438046014,7.0507575022328535,6.959251691352154,7.144325732731206,6.8885877774152355,7.205022676829338,6.8885877774152355,7.205022676829338,311.9020207187124,303.99862543165744,320.15289004633195,299.4835285186883,325.4379734118756,299.4835285186883,325.4379734118756,500,500
0.39,7.047515057479492,308.6717290310001,7.048702234856492,6.956612157531098,7.142777404977686,6.886489195355436,7.203750071896948,6.886489195355436,7.203750071896948,311.9851643909156,304.08039649919823,320.22074730804,299.5342955110356,325.5130460997732,299.5342955110356,325.5130460997732,500,500
0.4,7.043990373083359,308.829455719475,7.045177895616319,6.952986194478555,7.138679403728024,6.883083400657793,7.2021919006771125,6.883083400657793,7.2021919006771125,312.1459438919966,304.2413166642959,320.3625074839471,299.6860717379955,325.75309626462996,299.6860717379955,325.75309626462996,500,500
0.41,7.042606826017834,308.8924494106944,7.043751181115782,6.9503228838033575,7.136922849495288,6.882544323889965,7.199331757051939,6.882544323889965,7.199331757051939,312.22808224768426,304.21888901997954,320.32746668042677,300.19529337774134,326.3114442812505,300.19529337774134,326.3114442812505,500,500
0.42,7.039465999498818,308.97182711110116,7.040587376458975,6.9467191889278785,7.132561865625791,6.880388119261727,7.198764071866968,6.880388119261727,7.198764071866968,312.3052502722998,304.28013703922034,320.3539461602053,300.20887098724745,326.44501387512616,300.20887098724745,326.44501387512616,500,500
0.43,7.036683913964931,309.10828741376196,7.037915034799262,6.94270921362012,7.128700893386478,6.876486333479345,7.193689956687702,6.876486333479345,7.193689956687702,312.44199823738364,304.5382697877359,320.4098103722644,300.43025636406566,326.6056571498539,300.43025636406566,326.6056571498539,500,500
0.44,7.02871406864286,309.51233494727916,7.029786526125879,6.933490298169186,7.121266205803537,6.86606486443531,7.1856874173479,6.86606486443531,7.1856874173479,312.8326329721948,304.8509451197031,320.6229927198047,300.75104394470117,326.63723489487126,300.75104394470117,326.63723489487126,500,500
0.45,7.020289762314352,309.97184761579877,7.021531683489952,6.925402554244726,7.113607484616561,6.855833263458458,7.177026352691181,6.855833263458458,7.177026352691181,313.273576164761,305.2743168078312,320.960162674986,301.25128030274817,327.5916467554046,301.25128030274817,327.5916467554046,500,500
0.46,7.014256184735862,310.2539768393737,7.015206928871094,6.920149160491292,7.106599366229358,6.853778563854364,7.168345578407345,6.853778563854364,7.168345578407345,313.53895483220424,305.6032639546958,321.4194709908772,301.40028190346277,328.0354543809417,301.40028190346277,328.0354543809417,500,500
0.47,7.001195543415925,310.88865025130633,7.002058766326427,6.908437947424719,7.09121465035975,6.838349318963985,7.151591448542209,6.838349318963985,7.151591448542209,314.1511678895239,305.82544608697845,322.326508540763,302.35445555190955,328.0148667718825,302.35445555190955,328.0148667718825,500,500
0.48,6.998983026981968,311.0031032499158,6.9997514447881795,6.908583896187351,7.088500846287039,6.836255126752865,7.149518491987991,6.836255126752865,7.149518491987991,314.29496032987777,306.0853236013322,323.09292700404,302.1383637421554,328.6085876621729,302.1383637421554,328.6085876621729,500,500
0.49,6.998983026981968,311.0031032499158,6.9997514447881795,6.908583896187351,7.088500846287039,6.836255126752865,7.149518491987991,6.836255126752865,7.149518491987991,314.29496032987777,306.0853236013322,323.09292700404,302.1383637421554,328.6085876621729,302.1383637421554,328.6085876621729,500,500
0.5,6.998975595125875,311.0036096589386,6.999744012932087,6.908576464331259,7.088493414430947,6.836247694896772,7.149511060131899,6.836247694896772,7.149511060131899,314.29546673890064,306.08583001035504,323.0934334130629,302.1388701511782,328.6090940711957,302.1388701511782,328.6090940711957,500,500
0.51,6.997170495537351,311.0686650197704,6.997972357446452,6.906775428150398,7.0866415820739945,6.8352474404765164,7.146730281053481,6.8352474404765164,7.146730281053481,314.3621317213078,306.14265426760915,323.1673817526588,302.00163362379277,328.7354780529011,302.00163362379277,328.7354780529011,500,500
0.52,6.994799235784819,311.158744702948,6.995650235367217,6.904256500134299,7.083898052510689,6.834118581385113,7.144396617135885,6.834118581385113,7.144396617135885,314.4528471927769,306.28170064415036,323.29663064703874,301.8625229600846,328.9381704789788,301.8625229600846,328.9381704789788,500,500
0.53,6.961988674076637,312.66292564234686,6.962881250183564,6.87035193456271,7.050246582510085,6.802007794902693,7.113255808774433,6.802007794902693,7.113255808774433,316.52472233774967,306.85290070991215,326.4879857003517,301.0758307541361,333.01068200120744,301.0758307541361,333.01068200120744,500,500
0.54,6.955218649083422,313.1904311757783,6.955757596030719,6.860900274445549,7.05026224456223,6.80161691793093,7.116441712357519,6.80161691793093,7.116441712357519,317.06948444251225,307.4230713664237,327.04173564130855,301.99159141545204,333.44882135851634,301.99159141545204,333.44882135851634,500,500
0.55,6.953100573622931,313.3409696271846,6.953694047240638,6.858289434159905,7.0471821909621575,6.800282779692024,7.114299010609762,6.800282779692024,7.114299010609762,317.25244128131453,307.5643825015269,327.36738189992934,302.72122680019953,333.58799860298666,302.72122680019953,333.58799860298666,500,500
